TT,daydate,HS,tag_T1,tag_T2
0.0,2011-10-21,-2.52565844248,T1-173,T2-201
4.5625,2011-10-22,-2.47522868574,T1-172,T2-200
10.8583333333,2011-10-23,-2.4056402269,T1-171,T2-199
20.9833333333,2011-10-24,-2.29372761604,T1-170,T2-198
33.775,2011-10-25,-2.15234007888,T1-169,T2-197
45.2125,2011-10-26,-2.02592027773,T1-168,T2-196
55.8083333333,2011-10-27,-1.9088035002,T1-167,T2-195
67.9833333333,2011-10-28,-1.77423203974,T1-166,T2-194
82.3875,2011-10-29,-1.61502138307,T1-165,T2-193
96.1208333333,2011-10-30,-1.46322551255,T1-164,T2-192
107.766666667,2011-10-31,-1.33450298277,T1-163,T2-191
117.8375,2011-11-01,-1.22318908137,T1-162,T2-190
127.816666667,2011-11-02,-1.11288838054,T1-161,T2-189
141.116666667,2011-11-03,-0.965882185547,T1-160,T2-188
156.325,2011-11-04,-0.797782996411,T1-159,T2-187
169.683333333,2011-11-05,-0.650132037405,T1-158,T2-186
183.554166667,2011-11-06,-0.496816365987,T1-157,T2-185
196.475,2011-11-07,-0.35400113708,T1-156,T2-184
206.195833333,2011-11-08,-0.246555819751,T1-155,T2-183
215.9625,2011-11-09,-0.138603902118,T1-154,T2-182
227.654166667,2011-11-10,-0.00937477205217,T1-153,T2-181
237.075,2011-11-11,0.0947546160665,T1-152,T2-180
245.4875,2011-11-12,0.187738797676,T1-151,T2-179
256.5625,2011-11-13,0.310151851028,T1-150,T2-178
264.6625,2011-11-14,0.39968193971,T1-149,T2-177
270.883333333,2011-11-15,0.468441416251,T1-148,T2-176
275.466666667,2011-11-16,0.519101445862,T1-147,T2-175
278.420833333,2011-11-17,0.551754137663,T1-146,T2-174
288.295833333,2011-11-18,0.660903474173,T1-145,T2-173
296.683333333,2011-11-19,0.753611328348,T1-144,T2-172
303.620833333,2011-11-20,0.83029219134,T1-143,T2-171
309.7125,2011-11-21,0.897623976145,T1-142,T2-170
319.295833333,2011-11-22,1.00354949259,T1-141,T2-169
326.329166667,2011-11-23,1.08128961075,T1-140,T2-168
334.979166667,2011-11-24,1.17689890298,T1-139,T2-167
342.291666667,2011-11-25,1.25772467749,T1-138,T2-166
348.033333333,2011-11-26,1.3211878782,T1-137,T2-165
354.075,2011-11-27,1.38796700814,T1-136,T2-164
363.020833333,2011-11-28,1.48684617501,T1-135,T2-163
370.483333333,2011-11-29,1.56932991412,T1-134,T2-162
377.970833333,2011-11-30,1.65208998066,T1-133,T2-161
384.025,2011-12-01,1.71900727431,T1-132,T2-160
394.808333333,2011-12-02,1.8381965076,T1-131,T2-159
402.675,2011-12-03,1.92514754023,T1-130,T2-158
411.9375,2011-12-04,2.0275268546,T1-129,T2-157
423.125,2011-12-05,2.15118338141,T1-128,T2-156
429.220833333,2011-12-06,2.21856122078,T1-127,T2-155
435.445833333,2011-12-07,2.28736675189,T1-126,T2-154
443.85,2011-12-08,2.38025882436,T1-125,T2-153
452.0,2011-12-09,2.47034156791,T1-124,T2-152
460.195833333,2011-12-10,2.56093091176,T1-123,T2-151
464.5375,2011-12-11,2.60891977617,T1-122,T2-150
469.295833333,2011-12-12,2.66151409781,T1-121,T2-149
476.133333333,2011-12-13,2.73708965106,T1-120,T2-148
485.154166667,2011-12-14,2.83679780024,T1-119,T2-147
492.166666667,2011-12-15,2.91430764554,T1-118,T2-146
498.7625,2011-12-16,2.98721203359,T1-117,T2-145
505.9,2011-12-17,3.06610351606,T1-116,T2-144
508.9375,2011-12-18,3.09967729931,T1-115,T2-143
511.516666667,2011-12-19,3.12818507961,T1-114,T2-142
513.404166667,2011-12-20,3.14904780089,T1-113,T2-141
520.320833333,2011-12-21,3.22549839102,T1-112,T2-140
529.016666667,2011-12-22,3.32161428355,T1-111,T2-139
538.883333333,2011-12-23,3.43067151091,T1-110,T2-138
546.916666667,2011-12-24,3.51946472644,T1-109,T2-137
551.441666667,2011-12-25,3.56947999203,T1-108,T2-136
557.566666667,2011-12-26,3.63718021341,T1-107,T2-135
562.375,2011-12-27,3.69032718992,T1-106,T2-134
563.3875,2011-12-28,3.70151845101,T1-105,T2-133
566.533333333,2011-12-29,3.73628965314,T1-104,T2-132
570.745833333,2011-12-30,3.7828508258,T1-103,T2-131
577.85,2011-12-31,3.86137387169,T1-102,T2-130
589.254166667,2012-01-01,3.98742523627,T1-101,T2-129
601.570833333,2012-01-02,4.12356255218,T1-100,T2-128
608.65,2012-01-03,4.20180927063,T1-99,T2-127
617.504166667,2012-01-04,4.29967523692,T1-98,T2-126
624.725,2012-01-05,4.37948781082,T1-97,T2-125
633.495833333,2012-01-06,4.47643268565,T1-96,T2-124
638.191666667,2012-01-07,4.52833618872,T1-95,T2-123
646.341666667,2012-01-08,4.61841893227,T1-94,T2-122
653.2375,2012-01-09,4.69463924953,T1-93,T2-121
661.1125,2012-01-10,4.78168239131,T1-92,T2-120
669.283333333,2012-01-11,4.87199540772,T1-91,T2-119
676.358333333,2012-01-12,4.9501960716,T1-90,T2-118
678.466666667,2012-01-13,4.97349968522,T1-89,T2-117
682.2,2012-01-14,5.01476458206,T1-88,T2-116
683.470833333,2012-01-15,5.02881122663,T1-87,T2-115
684.6,2012-01-16,5.04129201574,T1-86,T2-114
685.629166667,2012-01-17,5.05266749512,T1-85,T2-113
686.516666667,2012-01-18,5.06247711903,T1-84,T2-112
690.258333333,2012-01-19,5.10383412501,T1-83,T2-111
700.0,2012-01-20,5.21150971521,T1-82,T2-110
707.083333333,2012-01-21,5.28980248823,T1-81,T2-109
716.995833333,2012-01-22,5.39936631589,T1-80,T2-108
725.375,2012-01-23,5.49198206093,T1-79,T2-107
732.083333333,2012-01-24,5.56612992244,T1-78,T2-106
738.7625,2012-01-25,5.63995540194,T1-77,T2-105
748.0875,2012-01-26,5.7430255349,T1-76,T2-104
754.641666667,2012-01-27,5.81546937724,T1-75,T2-103
757.979166667,2012-01-28,5.85235908971,T1-74,T2-102
761.291666667,2012-01-29,5.88897247474,T1-73,T2-101
762.733333333,2012-01-30,5.90490735677,T1-72,T2-100
762.766666667,2012-01-31,5.90527579336,T1-71,T2-99
762.854166667,2012-02-01,5.90624293937,T1-70,T2-98
762.854166667,2012-02-02,5.90624293937,T1-69,T2-97
762.854166667,2012-02-03,5.90624293937,T1-68,T2-96
762.854166667,2012-02-04,5.90624293937,T1-67,T2-95
762.854166667,2012-02-05,5.90624293937,T1-66,T2-94
762.854166667,2012-02-06,5.90624293937,T1-65,T2-93
762.854166667,2012-02-07,5.90624293937,T1-64,T2-92
762.854166667,2012-02-08,5.90624293937,T1-63,T2-91
762.854166667,2012-02-09,5.90624293937,T1-62,T2-90
762.995833333,2012-02-10,5.90780879483,T1-61,T2-89
762.995833333,2012-02-11,5.90780879483,T1-60,T2-88
762.995833333,2012-02-12,5.90780879483,T1-59,T2-87
763.045833333,2012-02-13,5.9083614497,T1-58,T2-86
764.6875,2012-02-14,5.92650695121,T1-57,T2-85
768.408333333,2012-02-15,5.96763368433,T1-56,T2-84
773.745833333,2012-02-16,6.02662959154,T1-55,T2-83
779.345833333,2012-02-17,6.0885269368,T1-54,T2-82
784.991666667,2012-02-18,6.15093088236,T1-53,T2-81
791.679166667,2012-02-19,6.22484847101,T1-52,T2-80
795.05,2012-02-20,6.26210662005,T1-51,T2-79
796.733333333,2012-02-21,6.28071266729,T1-50,T2-78
799.029166667,2012-02-22,6.30608873667,T1-49,T2-77
802.720833333,2012-02-23,6.34689308778,T1-48,T2-76
810.970833333,2012-02-24,6.43808114106,T1-47,T2-75
820.808333333,2012-02-25,6.54681598642,T1-46,T2-74
829.725,2012-02-26,6.64537277129,T1-45,T2-73
836.0375,2012-02-27,6.71514544843,T1-44,T2-72
841.625,2012-02-28,6.77690462997,T1-43,T2-71
848.133333333,2012-02-29,6.84884187201,T1-42,T2-70
856.0875,2012-03-01,6.93676005066,T1-41,T2-69
864.3875,2012-03-02,7.02850075882,T1-40,T2-68
872.679166667,2012-03-03,7.12014935783,T1-39,T2-67
880.179166667,2012-03-04,7.20304758809,T1-38,T2-66
886.970833333,2012-03-05,7.27811654104,T1-37,T2-65
892.041666667,2012-03-06,7.33416495562,T1-36,T2-64
896.604166667,2012-03-07,7.38459471236,T1-35,T2-63
900.491666667,2012-03-08,7.42756362838,T1-34,T2-62
905.483333333,2012-03-09,7.48273700607,T1-33,T2-61
911.8125,2012-03-10,7.5526939015,T1-32,T2-60
921.066666667,2012-03-11,7.65498110673,T1-31,T2-59
930.620833333,2012-03-12,7.76058424116,T1-30,T2-58
940.608333333,2012-03-13,7.87097705113,T1-29,T2-57
950.0125,2012-03-14,7.97492222096,T1-28,T2-56
958.783333333,2012-03-15,8.07186709579,T1-27,T2-55
970.129166667,2012-03-16,8.19727369636,T1-26,T2-54
983.245833333,2012-03-17,8.34225349016,T1-25,T2-53
992.541666667,2012-03-18,8.44500124112,T1-24,T2-52
999.916666667,2012-03-19,8.52651783421,T1-23,T2-51
1005.725,2012-03-20,8.59071790809,T1-22,T2-50
1012.13333333,2012-03-21,8.66154984035,T1-21,T2-49
1022.49166667,2012-03-22,8.77604150733,T1-20,T2-48
1034.65416667,2012-03-23,8.91047480407,T1-19,T2-47
1047.6625,2012-03-24,9.05425717896,T1-18,T2-46
1061.25833333,2012-03-25,9.20453324856,T1-17,T2-45
1075.82916667,2012-03-26,9.3655860882,T1-16,T2-44
1090.04166667,2012-03-27,9.52267823455,T1-15,T2-43
1103.8125,2012-03-28,9.67488859618,T1-14,T2-42
1117.99166667,2012-03-29,9.83161230598,T1-13,T2-41
1132.06666667,2012-03-30,9.98718465144,T1-12,T2-40
1144.54583333,2012-03-31,10.1251180956,T1-11,T2-39
1153.10416667,2012-04-01,10.2197141873,T1-10,T2-38
1160.12083333,2012-04-02,10.2972700871,T1-9,T2-37
1169.50416667,2012-04-03,10.4009849842,T1-8,T2-36
1179.2875,2012-04-04,10.50912112,T1-7,T2-35
1187.55,2012-04-05,10.600447337,T1-6,T2-34
1196.02916667,2012-04-06,10.6941683919,T1-5,T2-33
1204.77916667,2012-04-07,10.7908829938,T1-4,T2-32
1212.4,2012-04-08,10.8751168066,T1-3,T2-31
1219.73333333,2012-04-09,10.956172854,T1-2,T2-30
1230.58333333,2012-04-10,11.0760989604,T1-1,T2-29
1239.41666667,2012-04-11,11.1737346539,T1,T2-28
1247.375,2012-04-12,11.2616988871,T1+1,T2-27
1255.81666667,2012-04-13,11.3550054507,T1+2,T2-26
1263.37083333,2012-04-14,11.4385023904,T1+3,T2-25
1271.9,2012-04-15,11.5327761,T1+4,T2-24
1278.85,2012-04-16,11.6095951268,T1+5,T2-23
1284.67916667,2012-04-17,11.6740254735,T1+6,T2-22
1290.15,2012-04-18,11.734495127,T1+7,T2-21
1296.925,2012-04-19,11.8093798617,T1+8,T2-20
1304.8375,2012-04-20,11.8968374946,T1+9,T2-19
1313.23333333,2012-04-21,11.9896374579,T1+10,T2-18
1320.60833333,2012-04-22,12.071154051,T1+11,T2-17
1328.33333333,2012-04-23,12.1565392282,T1+12,T2-16
1335.49166667,2012-04-24,12.2356609836,T1+13,T2-15
1344.29583333,2012-04-25,12.3329742949,T1+14,T2-14
1353.1875,2012-04-26,12.4312547524,T1+15,T2-13
1364.55,2012-04-27,12.5568455712,T1+16,T2-12
1375.24583333,2012-04-28,12.6750676584,T1+17,T2-11
1387.67083333,2012-04-29,12.8124023932,T1+18,T2-10
1400.67916667,2012-04-30,12.9561847682,T1+19,T2-9
1413.55,2012-05-01,13.0984473422,T1+20,T2-8
1426.16666667,2012-05-02,13.2379005874,T1+21,T2-7
1437.1875,2012-05-03,13.3597149313,T1+22,T2-6
1452.04583333,2012-05-04,13.5239455363,T1+23,T2-5
1464.91666667,2012-05-05,13.6662081104,T1+24,T2-4
1476.63333333,2012-05-06,13.7957135678,T1+25,T2-3
1487.54166667,2012-05-07,13.9162844384,T1+26,T2-2
1500.14166667,2012-05-08,14.0555534652,T1+27,T2-1
1514.5875,2012-05-09,14.2152246676,T1+28,T2
1531.47916667,2012-05-10,14.401929904,T1+29,T2+1
1552.46666667,2012-05-11,14.633906785,T1+30,T2+2
1568.425,2012-05-12,14.8102957971,T1+31,T2+3
1580.40833333,2012-05-13,14.9427487472,T1+32,T2+4
1590.24166667,2012-05-14,15.0514375381,T1+33,T2+5
1602.12916667,2012-05-15,15.1828312331,T1+34,T2+6
1610.26666667,2012-05-16,15.2727758129,T1+35,T2+7
1619.3125,2012-05-17,15.3727602895,T1+36,T2+8
1630.27083333,2012-05-18,15.4938838147,T1+37,T2+9
1643.59583333,2012-05-19,15.6411663372,T1+38,T2+10
1657.575,2012-05-20,15.7956794275,T1+39,T2+11
1672.52083333,2012-05-21,15.9608771785,T1+40,T2+12
1684.84166667,2012-05-22,16.0970605491,T1+41,T2+13
1700.325,2012-05-23,16.26819934,T1+42,T2+14
1718.21666667,2012-05-24,16.4659576738,T1+43,T2+15
1738.2,2012-05-25,16.6868354028,T1+44,T2+16
1758.59583333,2012-05-26,16.9122725345,T1+45,T2+17
1777.79166667,2012-05-27,17.1244459495,T1+46,T2+18
1795.49166667,2012-05-28,17.3200857729,T1+47,T2+19
1813.02083333,2012-05-29,17.5138373588,T1+48,T2+20
1831.65833333,2012-05-30,17.719839461,T1+49,T2+21
1850.25833333,2012-05-31,17.925427072,T1+50,T2+22
1866.50833333,2012-06-01,18.1050399043,T1+51,T2+23
1882.82083333,2012-06-02,18.2853435551,T1+52,T2+24
1902.45,2012-06-03,18.5023066455,T1+53,T2+25
1919.22916667,2012-06-04,18.6877684085,T1+54,T2+26
1931.39583333,2012-06-05,18.8222477597,T1+55,T2+27
1943.89166667,2012-06-06,18.9603654223,T1+56,T2+28
1959.74166667,2012-06-07,19.1355570156,T1+57,T2+29
1976.37083333,2012-06-08,19.3193608139,T1+58,T2+30
1990.77916667,2012-06-09,19.4786175252,T1+59,T2+31
2003.2375,2012-06-10,19.6163206965,T1+60,T2+32
2016.83333333,2012-06-11,19.7665967661,T1+61,T2+33
2031.14166667,2012-06-12,19.9247481677,T1+62,T2+34
2043.575,2012-06-13,20.0621750116,T1+63,T2+35
2056.32083333,2012-06-14,20.2030559484,T1+64,T2+36
2071.9375,2012-06-15,20.3756684857,T1+65,T2+37
2088.7125,2012-06-16,20.5610841941,T1+66,T2+38
2103.34583333,2012-06-17,20.7228278522,T1+67,T2+39
2119.09583333,2012-06-18,20.8969141357,T1+68,T2+40
2134.5875,2012-06-19,21.0681450358,T1+69,T2+41
