variety;date;bloc;plant;axis;num_leaf_bottom;num_leaf_top;fnl;green;necro_tot;necro
tremie;05/22/2013;1;1;MS;12;1;12;100;0;0
tremie;05/22/2013;1;7;MS;12;1;12;100;0;0
tremie;05/22/2013;1;8;MS;12;1;12;100;0;0
tremie;05/22/2013;1;10;MS;12;1;12;100;0;0
tremie;05/22/2013;1;12;MS;12;1;12;100;0;0
tremie;05/22/2013;1;15;MS;12;1;12;100;0;0
tremie;05/22/2013;2;18;MS;12;1;12;100;0;0
tremie;05/22/2013;2;20;MS;12;1;12;100;0;0
tremie;05/22/2013;2;22;MS;12;1;12;100;0;0
tremie;05/22/2013;2;24;MS;12;1;12;100;0;0
tremie;05/22/2013;2;25;MS;12;1;12;100;0;0
tremie;05/22/2013;2;30;MS;12;1;12;100;0;0
tremie;05/22/2013;1;1;MS;11;2;12;100;0;0
tremie;05/22/2013;1;2;MS;11;1;11;100;0;0
tremie;05/22/2013;1;3;MS;11;1;11;100;0;0
tremie;05/22/2013;1;4;MS;11;1;11;100;0;0
tremie;05/22/2013;1;5;MS;11;1;11;100;0;0
tremie;05/22/2013;1;6;MS;11;1;11;100;0;0
tremie;05/22/2013;1;7;MS;11;2;12;100;0;0
tremie;05/22/2013;1;8;MS;11;2;12;100;0;0
tremie;05/22/2013;1;9;MS;11;1;11;100;0;0
tremie;05/22/2013;1;10;MS;11;2;12;100;0;0
tremie;05/22/2013;1;11;MS;11;1;11;100;0;0
tremie;05/22/2013;1;12;MS;11;2;12;100;0;0
tremie;05/22/2013;1;13;MS;11;1;11;100;0;0
tremie;05/22/2013;1;14;MS;11;1;11;100;0;0
tremie;05/22/2013;1;15;MS;11;2;12;100;0;0
tremie;05/22/2013;2;16;MS;11;1;11;100;0;0
tremie;05/22/2013;2;17;MS;11;1;11;100;0;0
tremie;05/22/2013;2;18;MS;11;2;12;100;0;0
tremie;05/22/2013;2;19;MS;11;1;11;100;0;0
tremie;05/22/2013;2;20;MS;11;2;12;100;0;0
tremie;05/22/2013;2;21;MS;11;1;11;100;0;0
tremie;05/22/2013;2;22;MS;11;2;12;100;0;0
tremie;05/22/2013;2;23;MS;11;1;11;100;0;0
tremie;05/22/2013;2;24;MS;11;2;12;100;0;0
tremie;05/22/2013;2;25;MS;11;2;12;100;0;0
tremie;05/22/2013;2;26;MS;11;1;11;100;0;0
tremie;05/22/2013;2;27;MS;11;1;11;100;0;0
tremie;05/22/2013;2;28;MS;11;1;11;100;0;0
tremie;05/22/2013;2;29;MS;11;1;11;100;0;0
tremie;05/22/2013;2;30;MS;11;2;12;100;0;0
tremie;05/22/2013;3;31;MS;11;1;11;100;0;0
tremie;05/22/2013;3;32;MS;11;1;11;100;0;0
tremie;05/22/2013;3;33;MS;11;1;11;100;0;0
tremie;05/22/2013;3;34;MS;11;1;11;100;0;0
tremie;05/22/2013;3;35;MS;11;1;11;100;0;0
tremie;05/22/2013;3;36;MS;11;1;11;100;0;0
tremie;05/22/2013;3;37;MS;11;1;11;100;0;0
tremie;05/22/2013;3;38;MS;11;1;11;100;0;0
tremie;05/22/2013;3;39;MS;11;1;11;100;0;0
tremie;05/22/2013;3;40;MS;11;1;11;100;0;0
tremie;05/22/2013;3;41;MS;11;1;11;100;0;0
tremie;05/22/2013;3;42;MS;11;1;11;100;0;0
tremie;05/22/2013;3;43;MS;11;1;11;100;0;0
tremie;05/22/2013;3;44;MS;11;1;11;100;0;0
tremie;05/22/2013;3;45;MS;11;1;11;100;0;0
tremie;05/22/2013;1;1;MS;10;3;12;100;0;0
tremie;05/22/2013;1;2;MS;10;2;11;100;0;0
tremie;05/22/2013;1;3;MS;10;2;11;100;0;0
tremie;05/22/2013;1;4;MS;10;2;11;100;0;0
tremie;05/22/2013;1;5;MS;10;2;11;100;0;0
tremie;05/22/2013;1;6;MS;10;2;11;100;0;0
tremie;05/22/2013;1;7;MS;10;3;12;100;0;0
tremie;05/22/2013;1;8;MS;10;3;12;94;6;0
tremie;05/22/2013;1;9;MS;10;2;11;100;0;0
tremie;05/22/2013;1;10;MS;10;3;12;100;0;0
tremie;05/22/2013;1;11;MS;10;2;11;100;0;0
tremie;05/22/2013;1;12;MS;10;3;12;100;0;0
tremie;05/22/2013;1;13;MS;10;2;11;100;0;0
tremie;05/22/2013;1;14;MS;10;2;11;100;0;0
tremie;05/22/2013;1;15;MS;10;3;12;100;0;0
tremie;05/22/2013;2;16;MS;10;2;11;100;0;0
tremie;05/22/2013;2;17;MS;10;2;11;100;0;0
tremie;05/22/2013;2;18;MS;10;3;12;100;0;0
tremie;05/22/2013;2;19;MS;10;2;11;100;0;0
tremie;05/22/2013;2;20;MS;10;3;12;100;0;0
tremie;05/22/2013;2;21;MS;10;2;11;100;0;0
tremie;05/22/2013;2;22;MS;10;3;12;100;0;0
tremie;05/22/2013;2;23;MS;10;2;11;100;0;0
tremie;05/22/2013;2;24;MS;10;3;12;100;0;0
tremie;05/22/2013;2;25;MS;10;3;12;100;0;0
tremie;05/22/2013;2;26;MS;10;2;11;100;0;0
tremie;05/22/2013;2;27;MS;10;2;11;100;0;0
tremie;05/22/2013;2;28;MS;10;2;11;100;0;0
tremie;05/22/2013;2;29;MS;10;2;11;100;0;0
tremie;05/22/2013;2;30;MS;10;3;12;100;0;0
tremie;05/22/2013;3;31;MS;10;2;11;100;0;0
tremie;05/22/2013;3;32;MS;10;2;11;100;0;0
tremie;05/22/2013;3;33;MS;10;2;11;100;0;0
tremie;05/22/2013;3;34;MS;10;2;11;100;0;0
tremie;05/22/2013;3;35;MS;10;2;11;100;0;0
tremie;05/22/2013;3;36;MS;10;2;11;100;0;0
tremie;05/22/2013;3;37;MS;10;2;11;100;0;0
tremie;05/22/2013;3;38;MS;10;2;11;100;0;0
tremie;05/22/2013;3;39;MS;10;2;11;100;0;0
tremie;05/22/2013;3;40;MS;10;2;11;100;0;0
tremie;05/22/2013;3;41;MS;10;2;11;100;0;0
tremie;05/22/2013;3;42;MS;10;2;11;100;0;0
tremie;05/22/2013;3;43;MS;10;2;11;100;0;0
tremie;05/22/2013;3;44;MS;10;2;11;100;0;0
tremie;05/22/2013;3;45;MS;10;2;11;100;0;0
tremie;05/22/2013;1;1;MS;9;4;12;100;0;0
tremie;05/22/2013;1;2;MS;9;3;11;99;1;0
tremie;05/22/2013;1;3;MS;9;3;11;100;0;0
tremie;05/22/2013;1;4;MS;9;3;11;100;0;0
tremie;05/22/2013;1;5;MS;9;3;11;100;0;0
tremie;05/22/2013;1;6;MS;9;3;11;100;0;0
tremie;05/22/2013;1;7;MS;9;4;12;95;5;0
tremie;05/22/2013;1;8;MS;9;4;12;78;22;20
tremie;05/22/2013;1;9;MS;9;3;11;100;0;0
tremie;05/22/2013;1;10;MS;9;4;12;95;5;5
tremie;05/22/2013;1;11;MS;9;3;11;100;0;0
tremie;05/22/2013;1;12;MS;9;4;12;98;2;0
tremie;05/22/2013;1;13;MS;9;3;11;99;1;0
tremie;05/22/2013;1;14;MS;9;3;11;100;0;0
tremie;05/22/2013;1;15;MS;9;4;12;100;0;0
tremie;05/22/2013;2;16;MS;9;3;11;100;0;0
tremie;05/22/2013;2;17;MS;9;3;11;100;0;0
tremie;05/22/2013;2;18;MS;9;4;12;95;5;0
tremie;05/22/2013;2;19;MS;9;3;11;100;0;0
tremie;05/22/2013;2;20;MS;9;4;12;100;0;0
tremie;05/22/2013;2;21;MS;9;3;11;100;0;0
tremie;05/22/2013;2;22;MS;9;4;12;100;0;0
tremie;05/22/2013;2;23;MS;9;3;11;100;0;0
tremie;05/22/2013;2;24;MS;9;4;12;100;0;0
tremie;05/22/2013;2;25;MS;9;4;12;100;0;0
tremie;05/22/2013;2;26;MS;9;3;11;100;0;0
tremie;05/22/2013;2;27;MS;9;3;11;100;0;0
tremie;05/22/2013;2;28;MS;9;3;11;100;0;0
tremie;05/22/2013;2;29;MS;9;3;11;100;0;0
tremie;05/22/2013;2;30;MS;9;4;12;100;0;0
tremie;05/22/2013;3;31;MS;9;3;11;100;0;0
tremie;05/22/2013;3;32;MS;9;3;11;99;1;0
tremie;05/22/2013;3;33;MS;9;3;11;100;0;0
tremie;05/22/2013;3;34;MS;9;3;11;99;1;0
tremie;05/22/2013;3;35;MS;9;3;11;100;0;0
tremie;05/22/2013;3;36;MS;9;3;11;100;0;0
tremie;05/22/2013;3;37;MS;9;3;11;95;5;2
tremie;05/22/2013;3;38;MS;9;3;11;100;0;0
tremie;05/22/2013;3;39;MS;9;3;11;100;0;0
tremie;05/22/2013;3;40;MS;9;3;11;100;0;0
tremie;05/22/2013;3;41;MS;9;3;11;100;0;0
tremie;05/22/2013;3;42;MS;9;3;11;100;0;0
tremie;05/22/2013;3;43;MS;9;3;11;100;0;0
tremie;05/22/2013;3;44;MS;9;3;11;100;0;0
tremie;05/22/2013;3;45;MS;9;3;11;100;0;0
tremie;05/22/2013;1;1;MS;8;5;12;50;50;50
tremie;05/22/2013;1;2;MS;8;4;11;40;60;60
tremie;05/22/2013;1;3;MS;8;4;11;40;60;60
tremie;05/22/2013;1;4;MS;8;4;11;80;20;20
tremie;05/22/2013;1;5;MS;8;4;11;80;20;20
tremie;05/22/2013;1;6;MS;8;4;11;80;20;20
tremie;05/22/2013;1;7;MS;8;5;12;20;80;80
tremie;05/22/2013;1;8;MS;8;5;12;0;100;100
tremie;05/22/2013;1;9;MS;8;4;11;5;95;85
tremie;05/22/2013;1;10;MS;8;5;12;0;100;100
tremie;05/22/2013;1;11;MS;8;4;11;40;60;60
tremie;05/22/2013;1;12;MS;8;5;12;20;80;80
tremie;05/22/2013;1;13;MS;8;4;11;40;60;58
tremie;05/22/2013;1;14;MS;8;4;11;30;70;60
tremie;05/22/2013;1;15;MS;8;5;12;50;50;50
tremie;05/22/2013;2;16;MS;8;4;11;80;20;20
tremie;05/22/2013;2;17;MS;8;4;11;50;50;50
tremie;05/22/2013;2;18;MS;8;5;12;10;90;90
tremie;05/22/2013;2;19;MS;8;4;11;50;50;50
tremie;05/22/2013;2;20;MS;8;5;12;20;80;80
tremie;05/22/2013;2;21;MS;8;4;11;60;40;40
tremie;05/22/2013;2;22;MS;8;5;12;40;60;60
tremie;05/22/2013;2;23;MS;8;4;11;95;5;5
tremie;05/22/2013;2;24;MS;8;5;12;50;50;50
tremie;05/22/2013;2;25;MS;8;5;12;50;50;50
tremie;05/22/2013;2;26;MS;8;4;11;60;40;40
tremie;05/22/2013;2;27;MS;8;4;11;40;60;60
tremie;05/22/2013;2;28;MS;8;4;11;90;10;0
tremie;05/22/2013;2;30;MS;8;5;12;50;50;50
tremie;05/22/2013;3;31;MS;8;4;11;60;40;40
tremie;05/22/2013;3;32;MS;8;4;11;60;40;40
tremie;05/22/2013;3;33;MS;8;4;11;80;20;20
tremie;05/22/2013;3;34;MS;8;4;11;10;90;90
tremie;05/22/2013;3;35;MS;8;4;11;80;20;20
tremie;05/22/2013;3;36;MS;8;4;11;70;30;30
tremie;05/22/2013;3;37;MS;8;4;11;5;95;95
tremie;05/22/2013;3;38;MS;8;4;11;80;20;20
tremie;05/22/2013;3;39;MS;8;4;11;80;20;20
tremie;05/22/2013;3;40;MS;8;4;11;80;20;20
tremie;05/22/2013;3;41;MS;8;4;11;70;30;30
tremie;05/22/2013;3;42;MS;8;4;11;70;30;30
tremie;05/22/2013;3;43;MS;8;4;11;98;2;2
tremie;05/22/2013;3;44;MS;8;4;11;87;13;0
tremie;05/22/2013;3;45;MS;8;4;11;80;20;0
tremie;05/27/2013;1;1;MS;12;1;12;100;0;0
tremie;05/27/2013;1;7;MS;12;1;12;100;0;0
tremie;05/27/2013;1;8;MS;12;1;12;100;0;0
tremie;05/27/2013;1;10;MS;12;1;12;100;0;0
tremie;05/27/2013;1;12;MS;12;1;12;100;0;0
tremie;05/27/2013;1;15;MS;12;1;12;100;0;0
tremie;05/27/2013;2;18;MS;12;1;12;100;0;0
tremie;05/27/2013;2;20;MS;12;1;12;100;0;0
tremie;05/27/2013;2;22;MS;12;1;12;100;0;0
tremie;05/27/2013;2;24;MS;12;1;12;100;0;0
tremie;05/27/2013;2;25;MS;12;1;12;100;0;0
tremie;05/27/2013;2;29;MS;12;1;12;100;0;0
tremie;05/27/2013;2;30;MS;12;1;12;100;0;0
tremie;05/27/2013;1;1;MS;11;2;12;100;0;0
tremie;05/27/2013;1;2;MS;11;1;11;100;0;0
tremie;05/27/2013;1;3;MS;11;1;11;100;0;0
tremie;05/27/2013;1;4;MS;11;1;11;100;0;0
tremie;05/27/2013;1;5;MS;11;1;11;100;0;0
tremie;05/27/2013;1;6;MS;11;1;11;100;0;0
tremie;05/27/2013;1;7;MS;11;2;12;100;0;0
tremie;05/27/2013;1;8;MS;11;2;12;100;0;0
tremie;05/27/2013;1;9;MS;11;1;11;100;0;0
tremie;05/27/2013;1;10;MS;11;2;12;100;0;0
tremie;05/27/2013;1;11;MS;11;1;11;100;0;0
tremie;05/27/2013;1;12;MS;11;2;12;99;1;0
tremie;05/27/2013;1;13;MS;11;1;11;100;0;0
tremie;05/27/2013;1;14;MS;11;1;11;100;0;0
tremie;05/27/2013;1;15;MS;11;2;12;98;2;1
tremie;05/27/2013;2;16;MS;11;1;11;100;0;0
tremie;05/27/2013;2;17;MS;11;1;11;100;0;0
tremie;05/27/2013;2;18;MS;11;2;12;99;1;0
tremie;05/27/2013;2;19;MS;11;1;11;100;0;0
tremie;05/27/2013;2;20;MS;11;2;12;99;1;0
tremie;05/27/2013;2;21;MS;11;1;11;100;0;0
tremie;05/27/2013;2;22;MS;11;2;12;99;1;0
tremie;05/27/2013;2;23;MS;11;1;11;100;0;0
tremie;05/27/2013;2;24;MS;11;2;12;100;0;0
tremie;05/27/2013;2;25;MS;11;2;12;100;0;0
tremie;05/27/2013;2;26;MS;11;1;11;100;0;0
tremie;05/27/2013;2;27;MS;11;1;11;100;0;0
tremie;05/27/2013;2;28;MS;11;1;11;99;1;0
tremie;05/27/2013;2;29;MS;11;2;12;100;0;0
tremie;05/27/2013;2;30;MS;11;2;12;99;1;0
tremie;05/27/2013;3;31;MS;11;1;11;100;0;0
tremie;05/27/2013;3;32;MS;11;1;11;100;0;0
tremie;05/27/2013;3;33;MS;11;1;11;100;0;0
tremie;05/27/2013;3;34;MS;11;1;11;100;0;0
tremie;05/27/2013;3;35;MS;11;1;11;100;0;0
tremie;05/27/2013;3;36;MS;11;1;11;100;0;0
tremie;05/27/2013;3;37;MS;11;1;11;100;0;0
tremie;05/27/2013;3;38;MS;11;1;11;100;0;0
tremie;05/27/2013;3;39;MS;11;1;11;100;0;0
tremie;05/27/2013;3;40;MS;11;1;11;100;0;0
tremie;05/27/2013;3;41;MS;11;1;11;100;0;0
tremie;05/27/2013;3;42;MS;11;1;11;100;0;0
tremie;05/27/2013;3;43;MS;11;1;11;100;0;0
tremie;05/27/2013;3;44;MS;11;1;11;100;0;0
tremie;05/27/2013;3;45;MS;11;1;11;100;0;0
tremie;05/27/2013;1;1;MS;10;3;12;99;1;0
tremie;05/27/2013;1;2;MS;10;2;11;100;0;0
tremie;05/27/2013;1;3;MS;10;2;11;100;0;0
tremie;05/27/2013;1;4;MS;10;2;11;100;0;0
tremie;05/27/2013;1;5;MS;10;2;11;100;0;0
tremie;05/27/2013;1;6;MS;10;2;11;100;0;0
tremie;05/27/2013;1;7;MS;10;3;12;100;0;0
tremie;05/27/2013;1;8;MS;10;3;12;90;10;0
tremie;05/27/2013;1;9;MS;10;2;11;100;0;0
tremie;05/27/2013;1;10;MS;10;3;12;100;0;0
tremie;05/27/2013;1;11;MS;10;2;11;99;1;0
tremie;05/27/2013;1;12;MS;10;3;12;99;1;0
tremie;05/27/2013;1;13;MS;10;2;11;100;0;0
tremie;05/27/2013;1;14;MS;10;2;11;99;1;0
tremie;05/27/2013;1;15;MS;10;3;12;100;0;0
tremie;05/27/2013;2;16;MS;10;2;11;100;0;0
tremie;05/27/2013;2;17;MS;10;2;11;100;0;0
tremie;05/27/2013;2;18;MS;10;3;12;100;0;0
tremie;05/27/2013;2;19;MS;10;2;11;100;0;0
tremie;05/27/2013;2;20;MS;10;3;12;100;0;0
tremie;05/27/2013;2;21;MS;10;2;11;100;0;0
tremie;05/27/2013;2;22;MS;10;3;12;100;0;0
tremie;05/27/2013;2;23;MS;10;2;11;100;0;0
tremie;05/27/2013;2;24;MS;10;3;12;100;0;0
tremie;05/27/2013;2;25;MS;10;3;12;100;0;0
tremie;05/27/2013;2;26;MS;10;2;11;99;1;0
tremie;05/27/2013;2;27;MS;10;2;11;100;0;0
tremie;05/27/2013;2;28;MS;10;2;11;100;0;0
tremie;05/27/2013;2;29;MS;10;3;12;100;0;0
tremie;05/27/2013;2;30;MS;10;3;12;100;0;0
tremie;05/27/2013;3;31;MS;10;2;11;100;0;0
tremie;05/27/2013;3;32;MS;10;2;11;99;1;0
tremie;05/27/2013;3;33;MS;10;2;11;100;0;0
tremie;05/27/2013;3;34;MS;10;2;11;98;2;0
tremie;05/27/2013;3;35;MS;10;2;11;100;0;0
tremie;05/27/2013;3;36;MS;10;2;11;100;0;0
tremie;05/27/2013;3;37;MS;10;2;11;99;1;0
tremie;05/27/2013;3;38;MS;10;2;11;100;0;0
tremie;05/27/2013;3;39;MS;10;2;11;100;0;0
tremie;05/27/2013;3;40;MS;10;2;11;100;0;0
tremie;05/27/2013;3;41;MS;10;2;11;100;0;0
tremie;05/27/2013;3;42;MS;10;2;11;100;0;0
tremie;05/27/2013;3;43;MS;10;2;11;99;1;0
tremie;05/27/2013;3;44;MS;10;2;11;99;1;0
tremie;05/27/2013;3;45;MS;10;2;11;100;0;0
tremie;05/27/2013;1;1;MS;9;4;12;100;0;0
tremie;05/27/2013;1;2;MS;9;3;11;95;5;0
tremie;05/27/2013;1;3;MS;9;3;11;100;0;0
tremie;05/27/2013;1;4;MS;9;3;11;100;0;0
tremie;05/27/2013;1;5;MS;9;3;11;100;0;0
tremie;05/27/2013;1;6;MS;9;3;11;100;0;0
tremie;05/27/2013;1;7;MS;9;4;12;90;10;0
tremie;05/27/2013;1;8;MS;9;4;12;50;50;50
tremie;05/27/2013;1;9;MS;9;3;11;98;2;0
tremie;05/27/2013;1;10;MS;9;4;12;93;7;5
tremie;05/27/2013;1;11;MS;9;3;11;100;0;0
tremie;05/27/2013;1;12;MS;9;4;12;97;3;0
tremie;05/27/2013;1;13;MS;9;3;11;99;1;0
tremie;05/27/2013;1;14;MS;9;3;11;99;1;0
tremie;05/27/2013;1;15;MS;9;4;12;100;0;0
tremie;05/27/2013;2;16;MS;9;3;11;100;0;0
tremie;05/27/2013;2;17;MS;9;3;11;100;0;0
tremie;05/27/2013;2;18;MS;9;4;12;97;3;0
tremie;05/27/2013;2;19;MS;9;3;11;100;0;0
tremie;05/27/2013;2;20;MS;9;4;12;100;0;0
tremie;05/27/2013;2;21;MS;9;3;11;100;0;0
tremie;05/27/2013;2;22;MS;9;4;12;99;1;0
tremie;05/27/2013;2;23;MS;9;3;11;100;0;0
tremie;05/27/2013;2;24;MS;9;4;12;100;0;0
tremie;05/27/2013;2;25;MS;9;4;12;99;1;0
tremie;05/27/2013;2;26;MS;9;3;11;100;0;0
tremie;05/27/2013;2;27;MS;9;3;11;100;0;0
tremie;05/27/2013;2;28;MS;9;3;11;100;0;0
tremie;05/27/2013;2;29;MS;9;4;12;98;2;0
tremie;05/27/2013;2;30;MS;9;4;12;99;1;0
tremie;05/27/2013;3;31;MS;9;3;11;100;0;0
tremie;05/27/2013;3;32;MS;9;3;11;98;2;0
tremie;05/27/2013;3;33;MS;9;3;11;95;5;0
tremie;05/27/2013;3;34;MS;9;3;11;96;4;2
tremie;05/27/2013;3;35;MS;9;3;11;100;0;0
tremie;05/27/2013;3;36;MS;9;3;11;99;1;0
tremie;05/27/2013;3;37;MS;9;3;11;90;10;5
tremie;05/27/2013;3;38;MS;9;3;11;100;0;0
tremie;05/27/2013;3;39;MS;9;3;11;100;0;0
tremie;05/27/2013;3;40;MS;9;3;11;100;0;0
tremie;05/27/2013;3;41;MS;9;3;11;100;0;0
tremie;05/27/2013;3;42;MS;9;3;11;99;1;0
tremie;05/27/2013;3;43;MS;9;3;11;100;0;0
tremie;05/27/2013;3;44;MS;9;3;11;100;0;0
tremie;05/27/2013;3;45;MS;9;3;11;100;0;0
tremie;05/27/2013;3;1;MS;8;5;12;50;50;45
tremie;05/27/2013;3;2;MS;8;4;11;50;50;50
tremie;05/27/2013;3;3;MS;8;4;11;60;40;38
tremie;05/27/2013;3;4;MS;8;4;11;80;20;18
tremie;05/27/2013;3;5;MS;8;4;11;80;20;20
tremie;05/27/2013;3;6;MS;8;4;11;80;20;20
tremie;05/27/2013;3;7;MS;8;5;12;30;70;70
tremie;05/27/2013;3;8;MS;8;5;12;0;100;100
tremie;05/27/2013;3;9;MS;8;4;11;0;100;100
tremie;05/27/2013;3;10;MS;8;5;12;0;100;100
tremie;05/27/2013;3;11;MS;8;4;11;30;70;70
tremie;05/27/2013;3;12;MS;8;5;12;10;90;90
tremie;05/27/2013;3;13;MS;8;4;11;40;60;60
tremie;05/27/2013;3;14;MS;8;4;11;20;80;80
tremie;05/27/2013;3;15;MS;8;5;12;50;50;50
tremie;05/27/2013;3;16;MS;8;4;11;70;30;30
tremie;05/27/2013;3;17;MS;8;4;11;45;55;55
tremie;05/27/2013;3;18;MS;8;5;12;5;95;95
tremie;05/27/2013;3;19;MS;8;4;11;40;60;60
tremie;05/27/2013;3;20;MS;8;5;12;10;90;90
tremie;05/27/2013;3;21;MS;8;4;11;70;30;30
tremie;05/27/2013;3;22;MS;8;5;12;40;60;60
tremie;05/27/2013;3;23;MS;8;4;11;95;5;5
tremie;05/27/2013;3;24;MS;8;5;12;40;60;60
tremie;05/27/2013;3;25;MS;8;5;12;40;60;60
tremie;05/27/2013;3;26;MS;8;4;11;60;40;30
tremie;05/27/2013;3;27;MS;8;4;11;30;70;70
tremie;05/27/2013;3;28;MS;8;4;11;90;10;0
tremie;05/27/2013;3;29;MS;8;5;12;40;60;60
tremie;05/27/2013;3;30;MS;8;5;12;50;50;50
tremie;05/27/2013;3;31;MS;8;4;11;50;50;50
tremie;05/27/2013;3;32;MS;8;4;11;40;60;50
tremie;05/27/2013;3;33;MS;8;4;11;80;20;20
tremie;05/27/2013;3;34;MS;8;4;11;0;100;100
tremie;05/27/2013;3;35;MS;8;4;11;80;20;20
tremie;05/27/2013;3;36;MS;8;4;11;80;20;20
tremie;05/27/2013;3;37;MS;8;4;11;0;100;100
tremie;05/27/2013;3;38;MS;8;4;11;80;20;20
tremie;05/27/2013;3;39;MS;8;4;11;80;20;20
tremie;05/27/2013;3;40;MS;8;4;11;70;30;30
tremie;05/27/2013;3;41;MS;8;4;11;70;30;30
tremie;05/27/2013;3;42;MS;8;4;11;70;30;30
tremie;05/27/2013;3;43;MS;8;4;11;95;5;5
tremie;05/27/2013;3;44;MS;8;4;11;80;20;15
tremie;05/27/2013;3;45;MS;8;4;11;70;30;27
tremie;06/03/2013;1;1;MS;12;1;12;100;0;0
tremie;06/03/2013;1;7;MS;12;1;12;100;0;0
tremie;06/03/2013;1;8;MS;12;1;12;100;0;0
tremie;06/03/2013;1;10;MS;12;1;12;100;0;0
tremie;06/03/2013;1;12;MS;12;1;12;99;1;1
tremie;06/03/2013;1;15;MS;12;1;12;100;0;0
tremie;06/03/2013;2;18;MS;12;1;12;99;1;0
tremie;06/03/2013;2;20;MS;12;1;12;100;0;0
tremie;06/03/2013;2;22;MS;12;1;12;100;0;0
tremie;06/03/2013;2;24;MS;12;1;12;100;0;0
tremie;06/03/2013;2;25;MS;12;1;12;100;0;0
tremie;06/03/2013;2;29;MS;12;1;12;100;0;0
tremie;06/03/2013;2;30;MS;12;1;12;100;0;0
tremie;06/03/2013;1;1;MS;11;2;12;100;0;0
tremie;06/03/2013;1;2;MS;11;1;11;99;1;0
tremie;06/03/2013;1;3;MS;11;1;11;99;1;0
tremie;06/03/2013;1;4;MS;11;1;11;99;1;0
tremie;06/03/2013;1;5;MS;11;1;11;98;2;0
tremie;06/03/2013;1;6;MS;11;1;11;100;0;0
tremie;06/03/2013;1;7;MS;11;2;12;98;2;0
tremie;06/03/2013;1;8;MS;11;2;12;99;1;0
tremie;06/03/2013;1;9;MS;11;1;11;100;0;0
tremie;06/03/2013;1;10;MS;11;2;12;98;2;0
